Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Serial Number
2837,"KF Chung, SE Wenzel, JL Brozek…","International ERS/ATS guidelines on definition, evaluation and treatment of severe asthma",2014.0,European respiratory …,Eur Respiratory Soc,https://erj.ersjournals.com/content/43/2/343.short,https://scholar.google.com/scholar?cites=12041879659369785034&as_sdt=2005&sciodt=2007&hl=en,1,18/7/2021 17:22,,,,,,,,,2837,405.29,709,4,7.0,"Severe or therapy-resistant asthma is increasingly recognised as a major unmet need. A Task Force, supported by the European Respiratory Society and American Thoracic Society, reviewed the definition and provided recommendations and guidelines on the evaluation …",https://erj.ersjournals.com/content/erj/43/2/343.full.pdf.,https://scholar.google.com/scholar?q=related:yua85L9ZHacJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,1
1105,"K Ito, M Ito, WM Elliott, B Cosio…",Decreased histone deacetylase activity in chronic obstructive pulmonary disease,2005.0,… England Journal of …,Mass Medical Soc,https://www.nejm.org/doi/full/10.1056/NEJMoa041892,https://scholar.google.com/scholar?cites=1257129517068583782&as_sdt=2005&sciodt=2007&hl=en,2,18/7/2021 17:22,HTML,10.1056/NEJMoa041892,,,,,,,1105,69.06,221,5,16.0,Background Chronic obstructive pulmonary disease (COPD) is characterized by chronic airway inflammation that is greater in patients with advanced disease. We asked whether there is a link between the severity of disease and the reduction in histone deacetylase …,https://www.nejm.org/doi/full/10.1056/NEJMoa041892,https://scholar.google.com/scholar?q=related:ZgOInaI4chEJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,2
1014,"PJ Barnes, IM Adcock",Glucocorticoid resistance in inflammatory diseases,2009.0,The Lancet,Elsevier,https://www.sciencedirect.com/science/article/pii/S0140673609603263,https://scholar.google.com/scholar?cites=6831621254702217631&as_sdt=2005&sciodt=2007&hl=en,3,18/7/2021 17:22,,,,,,,,,1014,84.5,507,2,12.0,Glucocorticoid resistance or insensitivity is a major barrier to the treatment of several common inflammatory diseases—including chronic obstructive pulmonary disease and acute respiratory distress syndrome; it is also an issue for some patients with asthma …,,https://scholar.google.com/scholar?q=related:n7mI7lXLzl4J:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,3
998,"PJ Barnes, I Adcock, M Spedding…",Anti-inflammatory actions of steroids: molecular mechanisms,1993.0,Trends in pharmacological …,Elsevier,https://www.sciencedirect.com/science/article/pii/016561479390184L,https://scholar.google.com/scholar?cites=2321216656734822051&as_sdt=2005&sciodt=2007&hl=en,5,18/7/2021 17:22,,,,,,,,,998,35.64,250,4,28.0,Glucocorticosteroids are highly effective in controlling inflammation and the molecular mechanisms involved are now becoming clear. Activation of glucocorticoid receptors results in increased or decreased transcription of a number of genes involved in the inflammatory …,,https://scholar.google.com/scholar?q=related:ox5mP0CeNiAJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,4
899,"K Ito, PJ Barnes, IM Adcock",Glucocorticoid receptor recruitment of histone deacetylase 2 inhibits interleukin-1β-induced histone H4 acetylation on lysines 8 and 12,2000.0,Molecular and cellular biology,Am Soc Microbiol,https://journals.asm.org/doi/abs/10.1128/MCB.20.18.6891-6903.2000,https://scholar.google.com/scholar?cites=5367505929891956109&as_sdt=2005&sciodt=2007&hl=en,4,18/7/2021 17:22,,10.1128/MCB.20.18.6891-6903.2000,,,,,,,899,42.81,300,3,21.0,"We have investigated the ability of dexamethasone to regulate interleukin-1β (IL-1β)-induced gene expression, histone acetyltransferase (HAT) and histone deacetylase (HDAC) activity. Low concentrations of dexamethasone (10− 10 M) repress IL-1β-stimulated …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc88765/,https://scholar.google.com/scholar?q=related:jUUDeTQ2fUoJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,5
726,"K Ito, S Yamamura, S Essilfie-Quaye, B Cosio…",Histone deacetylase 2–mediated deacetylation of the glucocorticoid receptor enables NF-κB suppression,2006.0,The Journal of …,rupress.org,https://rupress.org/jem/article-abstract/203/1/7/52257,https://scholar.google.com/scholar?cites=2766629632809965581&as_sdt=2005&sciodt=2007&hl=en,6,18/7/2021 17:22,,,,,,,,,726,48.4,145,5,15.0,"Glucocorticoids are the most effective antiinflammatory agents for the treatment of chronic inflammatory diseases even though some diseases, such as chronic obstructive pulmonary disease (COPD), are relatively glucocorticoid insensitive. However, the molecular …",https://rupress.org/jem/article/203/1/7/52257,https://scholar.google.com/scholar?q=related:DRi1KP4KZSYJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,6
619,"K Ito, S Lim, G Caramori, B Cosio…",A molecular mechanism of action of theophylline: Induction of histone deacetylase activity to decrease inflammatory gene expression,2002.0,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/99/13/8921.short,https://scholar.google.com/scholar?cites=12981206136942506588&as_sdt=2005&sciodt=2007&hl=en,7,18/7/2021 17:22,,,,,,,,,619,32.58,124,5,19.0,"The molecular mechanism for the anti-inflammatory action of theophylline is currently unknown, but low-dose theophylline is an effective add-on therapy to corticosteroids in controlling asthma. Corticosteroids act, at least in part, by recruitment of histone …",https://www.pnas.org/content/pnas/99/13/8921.full.pdf,https://scholar.google.com/scholar?q=related:XDKURDSCJrQJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,7
560,"LA Hart, VL Krishnan, IM Adcock…","Activation and localization of transcription factor, nuclear factor-κ B, in asthma",1998.0,American journal of …,atsjournals.org,https://www.atsjournals.org/doi/abs/10.1164/ajrccm.158.5.9706116,https://scholar.google.com/scholar?cites=17781666594594214969&as_sdt=2005&sciodt=2007&hl=en,8,18/7/2021 17:22,,10.1164/ajrccm.158.5.9706116,,,,,,,560,24.35,140,4,23.0,"Asthma is associated with increased expression of inflammatory proteins including cytokines, enzymes, and adhesion molecules. Induction of many of the genes for these proteins is regulated by the transcription factor, nuclear factor-κ B (NF-κ B). We therefore …",https://www.atsjournals.org/doi/pdf/10.1164/ajrccm.158.5.9706116,https://scholar.google.com/scholar?q=related:OdQ3dY4rxfYJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,8
538,"DNR PAYNE, IANM ADCOCK, NM WILSON…","Relationship between exhaled nitric oxide and mucosal eosinophilic inflammation in children with difficult asthma, after treatment with oral prednisolone",2001.0,American journal of …,atsjournals.org,https://www.atsjournals.org/doi/abs/10.1164/ajrccm.164.8.2101145,https://scholar.google.com/scholar?cites=12645852344375484430&as_sdt=2005&sciodt=2007&hl=en,10,18/7/2021 17:22,,10.1164/ajrccm.164.8.2101145,,,,,,,538,26.9,135,4,20.0,"Exhaled nitric oxide (Feno) has been proposed as a noninvasive marker of airway inflammation in asthma, and may reflect airway eosinophilia. We examined the relationship between Feno and eosinophilic inflammation in endobronchial biopsies from 31 children …",https://www.atsjournals.org/doi/pdf/10.1164/ajrccm.164.8.2101145,https://scholar.google.com/scholar?q=related:DqCK5LQXf68J:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,9
536,"BG Cosio, L Tsaprouni, K Ito, E Jazrawi…",Theophylline restores histone deacetylase activity and steroid responses in COPD macrophages,2004.0,The Journal of …,rupress.org,https://rupress.org/jem/article-abstract/200/5/689/54296,https://scholar.google.com/scholar?cites=8156470609856539266&as_sdt=2005&sciodt=2007&hl=en,9,18/7/2021 17:22,,,,,,,,,536,31.53,107,5,17.0,"Chronic obstructive pulmonary disease (COPD) is a common chronic inflammatory disease of the lungs with little or no response to glucocorticoids and a high level of oxidative stress. Histone deacetylase (HDAC) activity is reduced in cells of cigarette smokers, and low …",https://rupress.org/jem/article/200/5/689/54296,https://scholar.google.com/scholar?q=related:gqppCc6aMXEJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,10
